"Club-Mate 0,3l","Club-Mate 0,5l","Club-Mate Winter Edition 0,5l","Cola Club-Mate 0,3l","Flora Mate 0,5l","Flora-Mate 0,3l","Frohlunder 0,3l","Gruen 0,3l","Hausmarke Kaffee Cola 0,3l","Hausmarke Lakritz Cola 0,3l","Hermann Brause Apfel Kirsch Schorle 0,3l","Hermann Brause Melone Limette 0,3l","Hermann Brause Orange 0,3l","Hermann Brause Rhabarber-Erdbeer Schorle 0,3l","Hermann Brause Zitrone 0,3l","ICE-Tea KRAFTSTOFF 0,5l","Pimpinella Anis Limiette 0,3l","Premium Cola 0,3l","Premium Cola 0,5l",timestamp
3,5,0,0,0,8,1,1,0,0,0,1,0,0,0,0,4,0,0,1394665200000
0,2,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,1394751600000
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394838000000
1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1395010800000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1395097200000
0,0,0,1,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1395183600000
2,1,0,2,2,1,0,1,0,0,0,0,0,0,1,0,1,0,3,1395270000000
1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1395356400000
0,0,0,1,3,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1395442800000
0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1395529200000
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1395615600000
